,title,artist,week,time_wide,time_narrow,uri
208,Sanctify,['Years & Years'],2018 11,man 12. marts 2018,12. mar,spotify:track:7gbpozqwdFoqvv19BTk2hu
209,Saturdays,"['Twin Shadow', 'Haim']",2018 10,man 5. marts 2018,5. mar,spotify:track:5ClqcvP4dYDDX6Zv3jPQD1
210,Make Me Feel,['Janelle MonÃ¡e'],2018 09,man 26. februar 2018,26. feb,spotify:track:5gW5dSy3vXJxgzma4rQuzH
211,Come Closer,"['Mont Jake', 'Leland Whitty', 'Gene Fisher']",2018 08,man 19. februar 2018,19. feb,spotify:track:7G1OIMwnh8wgWdjEufvEZk
212,Mine,['Bazzi'],2018 07,man 12. februar 2018,12. feb,spotify:track:7uzmGiiJyRfuViKKK3lVmR
213,Pray for Me,"['The Weeknd', 'Kendrick Lamar']",2018 06,man 5. februar 2018,5. feb,spotify:track:6huNf4dutXRjJyGn7f5BPS
214,Amsterdam,['Nephew'],2018 05,man 29. januar 2018,29. jan,spotify:track:549OpyPObE4guLeaVxRFQp
215,Strapped,['Fool'],2018 04,man 22. januar 2018,22. jan,spotify:track:3o6VhtL6rH2rBzsN8XvfWg
216,Low Life,['Soleima'],2018 03,man 15. januar 2018,15. jan,spotify:track:28BEwylPqT4eAmVYbhC3iL
217,Everybody Wants to Be Famous,['Superorganism'],2018 02,man 8. januar 2018,8. jan,spotify:track:4BVFVaa1fDo20Ud1q5Gd2N
218,Dream,['Bishop Briggs'],2017 49,man 4. december 2017,4. dec,spotify:track:3fHZJOvXmyHeFLFS1sDE30
219,Love You Like That,['Dagny'],2017 48,man 27. november 2017,27. nov,spotify:track:2IClzYyvgwrsmVVipYsx5T
220,Reflection,['Louis Samson'],2017 47,man 20. november 2017,20. nov,spotify:track:6G7gJu9fooyCYNhiWH2tMb
221,Romeo,['Yulez'],2017 46,man 13. november 2017,13. nov,spotify:track:5ea9iDVP3MPPLYLEZ5xcIs
222,Om igen,['Karl William'],2017 45,man 6. november 2017,6. nov,spotify:track:3alYqvurFPf2KPpvS9DrwS
223,Unknown (To You) (Timbaland Remix),['Jacob Banks'],2017 44,man 30. oktober 2017,30. okt,spotify:track:3oNd8QPgEeDP5L4TfZLhGW
224,Ebony,['Blaue Blume'],2017 43,man 23. oktober 2017,23. okt,spotify:track:09PyqmsyHUntjimkUs3WKX
225,Mystik,['Tash Sultana'],2017 42,man 16. oktober 2017,16. okt,spotify:track:0NnVzBW6TJLaEzcyXjqRDH
226,Rockstar,"['Post Malone', '21 Savage']",2017 41,man 9. oktober 2017,9. okt,spotify:track:0e7ipj03S05BNilyu5bRzt
227,Ask for It,['Future Animals'],2017 40,man 2. oktober 2017,2. okt,spotify:track:34MTgq4S4UPdz3zxgc9xAm
228,I'm Gonna Die,['The Minds of 99'],2017 39,man 25. september 2017,25. sep,spotify:track:4umgl58zt7VxkD9YP4ewQ9
229,Strangers,['Maximillian'],2017 38,man 18. september 2017,18. sep,spotify:track:7t4tQsGTdihgNfmZX63Kjo
230,Masterpiece,['NoNoNo'],2017 37,man 11. september 2017,11. sep,spotify:track:7v8enpgrJVxBTJthw1c2gZ
231,Young Dumb & Broke (Remix),"['Khalid', 'Rae Sremmurd', 'Lil Yachty']",2017 36,man 4. september 2017,4. sep,spotify:track:6LxEtvMKSwmPdd5Fh1PCof
232,Break Down Your Walls,['Nelson Can'],2017 35,man 28. august 2017,28. aug,spotify:track:3r6nuiebZxOtdd9tKhZ5SV
233,King Charles,['Yungblud'],2017 34,man 21. august 2017,21. aug,spotify:track:1ufQ1P133UDlCdxsYSio0a
234,Intrigued,['Nico & Vinz'],2017 26,man 26. juni 2017,26. jun,spotify:track:1lbgPy6qUbszFfZwQVec97
235,Please Don't Lie,['Hugo Helmig'],2017 25,man 19. juni 2017,19. jun,spotify:track:73niCPzZkDLz33Ei7ji243
236,Uh Babe,['Benal'],2017 24,man 12. juni 2017,12. jun,spotify:track:11AVYZlxCEQKT2SlYla0Ta
237,Feel It Still,['Portugal. The Man'],2017 23,man 5. juni 2017,5. jun,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
238,Antikommerciel masseappel,['Marvelous Mosell'],2017 22,man 29. maj 2017,29. maj,spotify:track:0CQB5KZwJ8QjUBygzXSnTa
239,HÃ¸rt fra dig,['Emil Kruse'],2017 21,man 22. maj 2017,22. maj,spotify:track:196sFFumq7BLlma5IK6ceQ
240,Tuesday,"['Burak Yeter', 'Danelle Sandoval']",2017 20,man 15. maj 2017,15. maj,spotify:track:7EVk9tRb6beJLTHrg6AkY9
241,In and Out of Love,['Vera'],2017 19,man 8. maj 2017,8. maj,spotify:track:6uRsPzgLfDtGWLhqf7pjco
242,Mamacita,"['Kesi', 'Benny Jamz']",2017 18,man 1. maj 2017,1. maj,spotify:track:5OSH98PlarYwozcSR7lY19
243,Stoned,['Blondage'],2017 17,man 24. april 2017,24. apr,spotify:track:1eglAYj7qMUO58fLm2SohW
244,Gazeller,['Moses: “Andreas”'],2017 16,man 17. april 2017,17. apr,spotify:track:5JEkHWqFPIccjoJOARBLYD
245,Sign of the Times,['Harry Styles'],2017 15,man 10. april 2017,10. apr,spotify:track:5Ohxk2dO5COHF1krpoPigN
246,Still Got Time,"['Zayn Malik', 'PartyNextDoor']",2017 14,man 3. april 2017,3. apr,spotify:track:000xQL6tZNLJzIrtIgxqSl
247,Come Alive,['Noah Carter'],2017 13,man 27. marts 2017,27. mar,spotify:track:3o1lguDaLSQmoMdLpDBUIJ
248,Forstenet,['Karl William'],2017 12,man 20. marts 2017,20. mar,spotify:track:5cJYVvdNrqw5Ju6761EDEN
249,Loverboy,['Mattis'],2017 11,man 13. marts 2017,13. mar,spotify:track:3qLvgzwkFHPASaxKBiXVVu
250,Green Light,['Lorde'],2017 10,man 6. marts 2017,6. mar,spotify:track:6ie2Bw3xLj2JcGowOlcMhb
251,Over alt,['Emil Stabil'],2017 09,man 27. februar 2017,27. feb,spotify:track:60c8mN4GxawyL2PUrjWDNM
252,Don't Kill My Vibe,['Sigrid'],2017 08,man 20. februar 2017,20. feb,spotify:track:5DCaAsjQRLYvvdFUzaYnAz
253,Down,['Marian Hill'],2017 07,man 13. februar 2017,13. feb,spotify:track:0ZQfn5nh2TnVE6Q0AT8eXr
254,Saucen,['Sivas'],2017 06,man 6. februar 2017,6. feb,spotify:track:4uSymfZ9xqA1Cc6C4L02ck
255,Even Love,['Chinah'],2017 05,man 30. januar 2017,30. jan,spotify:track:0ho4MM63gdnoKEEb73Wy2l
